INDEX,Gender,Brand,Fragrance,Top,Heart,Base,Description,Longevity,Seasonal Use,Occasion,Projection/Sillage,Price,Rating,Overview
192,Women,Atelier Cologne,Clementine California,"Clementine, mandarin, juniper berries","Basil, pepper, star anise","Vetiver, sandalwood, cypress",A fresh and zesty citrus scent that is perfect for everyday wear.,Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.3,"Women,Atelier Cologne,Clementine California,Clementine, mandarin, juniper berries,Basil, pepper, star anise,Vetiver, sandalwood, cypress,A fresh and zesty citrus scent that is perfect for everyday wear.,Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.3"
193,Women,Chanel,Coco Mademoiselle,"Orange, Mandarin, Bergamot","Jasmine, Rose, Ylang-Ylang","Vanilla, Patchouli, Musk","A modern, feminine fragrance with a citrusy top note, floral heart, and woody base. It is sophisticated, sensual, and elegant.",Long-lasting,All Seasons,Casual (Daytime),Heavy,Exorbitant,4.7,"Women,Chanel,Coco Mademoiselle,Orange, Mandarin, Bergamot,Jasmine, Rose, Ylang-Ylang,Vanilla, Patchouli, Musk,A modern, feminine fragrance with a citrusy top note, floral heart, and woody base. It is sophisticated, sensual, and elegant.,Long-lasting,All Seasons,Casual (Daytime),Heavy,Exorbitant,4.7"
194,Unisex,Chanel,Coco Mademoiselle,"Bergamot, Grapefruit, Orange, Mandarin, Orange Blossom","Jasmine, Rose, Ylang-Ylang","Tonka Bean, White Musk, Vanilla, Patchouli, Vetiver","A feminine fragrance that features citrus top notes of bergamot, grapefruit, orange, mandarin, and orange blossom, followed by a floral heart of jasmine, rose, and ylang-ylang, and finished with tonka bean, white musk, vanilla, patchouli, and vetiver. A classic and elegant scent.",Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.6,"Unisex,Chanel,Coco Mademoiselle,Bergamot, Grapefruit, Orange, Mandarin, Orange Blossom,Jasmine, Rose, Ylang-Ylang,Tonka Bean, White Musk, Vanilla, Patchouli, Vetiver,A feminine fragrance that features citrus top notes of bergamot, grapefruit, orange, mandarin, and orange blossom, followed by a floral heart of jasmine, rose, and ylang-ylang, and finished with tonka bean, white musk, vanilla, patchouli, and vetiver. A classic and elegant scent.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.6"
195,Women,Chanel,Coco Noir,"Grapefruit, Calabrian Bergamot","Jasmine, Rose, Geranium","Tonka Bean, Vanilla, Patchouli","A rich and sensual fragrance with a citrusy top note, a floral heart, and a warm, woody base. It is a modern and sophisticated scent that is perfect for evening wear.",Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.4,"Women,Chanel,Coco Noir,Grapefruit, Calabrian Bergamot,Jasmine, Rose, Geranium,Tonka Bean, Vanilla, Patchouli,A rich and sensual fragrance with a citrusy top note, a floral heart, and a warm, woody base. It is a modern and sophisticated scent that is perfect for evening wear.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.4"
196,Men,Gìorgìo àrmànì,Code,"Bergamot, Lemon","Star Anise, Olive Blossom","Tonka Bean, Leather","A seductive and masculine fragrance with a mix of fresh and warm notes, ideal for evening wear.",Moderate,Fall & Winter,Formal (Evening),Moderate,Expensive,4.6,"Men,Gìorgìo àrmànì,Code,Bergamot, Lemon,Star Anise, Olive Blossom,Tonka Bean, Leather,A seductive and masculine fragrance with a mix of fresh and warm notes, ideal for evening wear.,Moderate,Fall & Winter,Formal (Evening),Moderate,Expensive,4.6"
197,Women,Gìorgìo àrmànì,Code Cashmere,"Orange Blossom, Jasmine Sambac, Heliotrope","Iris, Almond Milk, Suede","Leather, Patchouli, Vanilla",A warm and sensual fragrance with a soft and comforting touch,Long-lasting,Fall & Winter,Casual (Evening),Heavy,Exorbitant,4.5,"Women,Gìorgìo àrmànì,Code Cashmere,Orange Blossom, Jasmine Sambac, Heliotrope,Iris, Almond Milk, Suede,Leather, Patchouli, Vanilla,A warm and sensual fragrance with a soft and comforting touch,Long-lasting,Fall & Winter,Casual (Evening),Heavy,Exorbitant,4.5"
198,Men,Gìorgìo àrmànì,Code Colonia,"Mandarin, Pink Pepper","Clary Sage, Orange Blossom","Amberwood, Tonka Bean","A fresh and modern fragrance with a mix of citrus and floral notes, perfect for daytime and casual wear.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.6,"Men,Gìorgìo àrmànì,Code Colonia,Mandarin, Pink Pepper,Clary Sage, Orange Blossom,Amberwood, Tonka Bean,A fresh and modern fragrance with a mix of citrus and floral notes, perfect for daytime and casual wear.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.6"
199,Women,Gìorgìo àrmànì,Code for Women,"Orange Blossom, Ginger, Jasmine","Honey, Vanilla, Orange Blossom","Sandalwood, Leather, Cedarwood",A floral and oriental fragrance with a mysterious and seductive aroma,Moderate,Fall & Winter,Casual (Evening),Moderate,Expensive,4.6,"Women,Gìorgìo àrmànì,Code for Women,Orange Blossom, Ginger, Jasmine,Honey, Vanilla, Orange Blossom,Sandalwood, Leather, Cedarwood,A floral and oriental fragrance with a mysterious and seductive aroma,Moderate,Fall & Winter,Casual (Evening),Moderate,Expensive,4.6"
200,Men,Gìorgìo àrmànì,Code Profumo,"Mandarin, Cardamom","Lavender, Orange Blossom","Tonka Bean, Leather","A rich and intense fragrance with a mix of spicy and floral notes, perfect for formal and special occasions.",Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.7,"Men,Gìorgìo àrmànì,Code Profumo,Mandarin, Cardamom,Lavender, Orange Blossom,Tonka Bean, Leather,A rich and intense fragrance with a mix of spicy and floral notes, perfect for formal and special occasions.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.7"
201,Men,Acqua di Parma,Colonia,Citrus,"Lavender, Rosemary","Vetiver, Sandalwood",A classic fresh scent with an Italian heritage. Perfect for everyday wear.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.6,"Men,Acqua di Parma,Colonia,Citrus,Lavender, Rosemary,Vetiver, Sandalwood,A classic fresh scent with an Italian heritage. Perfect for everyday wear.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.6"
202,Unisex,Acqua di Parma,Colonia,"Lemon, Orange, Bergamot, Lavender, Rosemary","Jasmine, Rose, Lily of the Valley, Verbena, Ylang-Ylang","Cedarwood, Sandalwood, Patchouli, Vetiver","Colonia is a timeless classic that exudes Italian elegance and sophistication. This fragrance is fresh, citrusy, and invigorating, perfect for any occasion, season, or gender.",Moderate to long-lasting,Spring & Summer,Casual (All),Moderate projection,Expensive,4.6,"Unisex,Acqua di Parma,Colonia,Lemon, Orange, Bergamot, Lavender, Rosemary,Jasmine, Rose, Lily of the Valley, Verbena, Ylang-Ylang,Cedarwood, Sandalwood, Patchouli, Vetiver,Colonia is a timeless classic that exudes Italian elegance and sophistication. This fragrance is fresh, citrusy, and invigorating, perfect for any occasion, season, or gender.,Moderate to long-lasting,Spring & Summer,Casual (All),Moderate projection,Expensive,4.6"
203,Men,Acqua di Parma,Colonia Club,"Neroli, Mandarin","Mint, Geranium","Vetiver, Musk",A sophisticated and modern scent with an aromatic and citrusy blend. Perfect for a night out.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.6,"Men,Acqua di Parma,Colonia Club,Neroli, Mandarin,Mint, Geranium,Vetiver, Musk,A sophisticated and modern scent with an aromatic and citrusy blend. Perfect for a night out.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.6"
204,Men,Acqua di Parma,Colonia Essenza,"Bergamot, Lemon, Mandarin","Rose, Lavender, Jasmine","Amber, Musk","A modern interpretation of the classic Colonia fragrance, with a more intense and long-lasting effect.",Long-lasting,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.7,"Men,Acqua di Parma,Colonia Essenza,Bergamot, Lemon, Mandarin,Rose, Lavender, Jasmine,Amber, Musk,A modern interpretation of the classic Colonia fragrance, with a more intense and long-lasting effect.,Long-lasting,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.7"
205,Men,Acqua di Parma,Colonia Intensa,"Cardamom, Ginger, Bergamot","Myrtle, Artemisia, Neroli","Cedarwood, Leather, Amber",A masculine and intense fragrance perfect for special occasions.,Long-lasting,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.4,"Men,Acqua di Parma,Colonia Intensa,Cardamom, Ginger, Bergamot,Myrtle, Artemisia, Neroli,Cedarwood, Leather, Amber,A masculine and intense fragrance perfect for special occasions.,Long-lasting,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.4"
206,Men,Acqua di Parma,Colonia Leather,"Lime, Lemon, Petitgrain","Pink Pepper, Leather, Cedarwood","Tonka Bean, Patchouli, Musk","A luxurious and sophisticated fragrance with a mix of citrus, leather, and woody notes. Ideal for formal events.",Long-lasting,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.2,"Men,Acqua di Parma,Colonia Leather,Lime, Lemon, Petitgrain,Pink Pepper, Leather, Cedarwood,Tonka Bean, Patchouli, Musk,A luxurious and sophisticated fragrance with a mix of citrus, leather, and woody notes. Ideal for formal events.,Long-lasting,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.2"
207,Men,Acqua di Parma,Colonia Oud,"Bergamot, Orange, Oud","Russian Coriander, Amyris","Cedarwood, Leather, Musk",A unique fragrance with a blend of traditional and modern scents. Perfect for special occasions.,Moderate,Fall & Winter,Formal (All),Moderate,Exorbitant,4.3,"Men,Acqua di Parma,Colonia Oud,Bergamot, Orange, Oud,Russian Coriander, Amyris,Cedarwood, Leather, Musk,A unique fragrance with a blend of traditional and modern scents. Perfect for special occasions.,Moderate,Fall & Winter,Formal (All),Moderate,Exorbitant,4.3"
208,Men,Acqua di Parma,Colonia Pura,"Bergamot, Orange","Jasmine, Narcissus, Coriander","Cedarwood, Musk",A clean and fresh scent with a contemporary twist. Ideal for daily wear.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.4,"Men,Acqua di Parma,Colonia Pura,Bergamot, Orange,Jasmine, Narcissus, Coriander,Cedarwood, Musk,A clean and fresh scent with a contemporary twist. Ideal for daily wear.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.4"
209,Men,Hermes,Concentré d'Orange Verte,"Orange, Mandarin, Lemon","Mint, Blackcurrant Buds, Oakmoss","Patchouli, White Musk, Amber",A fresh and citrusy scent with a touch of mint and oakmoss.,Moderate,All Seasons,All,Moderate,Exorbitant,4.1,"Men,Hermes,Concentré d'Orange Verte,Orange, Mandarin, Lemon,Mint, Blackcurrant Buds, Oakmoss,Patchouli, White Musk, Amber,A fresh and citrusy scent with a touch of mint and oakmoss.,Moderate,All Seasons,All,Moderate,Exorbitant,4.1"
210,Women,Davidoff,Cool Water,"Pineapple, Lemon, Blackcurrant, Lily, Lotus, Jasmine, Watermelon","Honey, Hawthorn, Lily of the valley, Jasmine","Musk, Vanilla, Blackberry, Raspberry, Vetiver, Sandalwood, Peach","Cool Water is a classic fragrance for women. This refreshing scent has a blend of pineapple, blackcurrant, and watermelon with middle notes of jasmine and lily, creating a fragrance that is perfect for daytime wear.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5,"Women,Davidoff,Cool Water,Pineapple, Lemon, Blackcurrant, Lily, Lotus, Jasmine, Watermelon,Honey, Hawthorn, Lily of the valley, Jasmine,Musk, Vanilla, Blackberry, Raspberry, Vetiver, Sandalwood, Peach,Cool Water is a classic fragrance for women. This refreshing scent has a blend of pineapple, blackcurrant, and watermelon with middle notes of jasmine and lily, creating a fragrance that is perfect for daytime wear.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5"
211,Women,Davidoff,Cool Water Sea Rose,"Pear, Peony, Orange Blossom","Musk, Tea, Rose","Tonka Bean, Orris Root","Cool Water Sea Rose is a light, floral fragrance for women that is perfect for warm weather. The fragrance features top notes of pear and peony, with a heart of orange blossom and musk, and a base of tonka bean and orris root.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.4,"Women,Davidoff,Cool Water Sea Rose,Pear, Peony, Orange Blossom,Musk, Tea, Rose,Tonka Bean, Orris Root,Cool Water Sea Rose is a light, floral fragrance for women that is perfect for warm weather. The fragrance features top notes of pear and peony, with a heart of orange blossom and musk, and a base of tonka bean and orris root.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.4"
212,Women,Davidoff,Cool Water Wave,"Watermelon, Mango, Guava","Pink Pepper, Peony, Freesia","Sandalwood, Iris, Musk","Cool Water Wave is a fruity and floral fragrance that is perfect for summer. The scent features top notes of watermelon, mango, and guava, with a heart of pink pepper, peony, and freesia, and a base of sandalwood, iris, and musk.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.6,"Women,Davidoff,Cool Water Wave,Watermelon, Mango, Guava,Pink Pepper, Peony, Freesia,Sandalwood, Iris, Musk,Cool Water Wave is a fruity and floral fragrance that is perfect for summer. The scent features top notes of watermelon, mango, and guava, with a heart of pink pepper, peony, and freesia, and a base of sandalwood, iris, and musk.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.6"
213,Women,Michael Kors,Coral,"Mandarin Orange, Pink Pepper","Jasmine, Tuberose","Sandalwood, Vanilla",A bright and energizing fragrance that captures the vibrancy of summer.,Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Affordable,4.6,"Women,Michael Kors,Coral,Mandarin Orange, Pink Pepper,Jasmine, Tuberose,Sandalwood, Vanilla,A bright and energizing fragrance that captures the vibrancy of summer.,Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Affordable,4.6"
214,Women,Tom Ford,Costa Azzurra,"Juniper Berries, Seaweed, Myrtle, Lemon","Cypress, Pine Needles, Lentisque","Labdanum, Vanilla, Algae, Woody Notes",A woody aromatic fragrance with a refreshing and salty aroma.,Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.3,"Women,Tom Ford,Costa Azzurra,Juniper Berries, Seaweed, Myrtle, Lemon,Cypress, Pine Needles, Lentisque,Labdanum, Vanilla, Algae, Woody Notes,A woody aromatic fragrance with a refreshing and salty aroma.,Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.3"
215,Men,Tom Ford,Costa Azzurra,"Juniper, Myrtle","Cypress, Pine Needles","Labdanum, Vanilla","A fresh and aromatic fragrance with a mix of herbal and woody notes, perfect for the adventurous and free-spirited man.",Long-lasting,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.4,"Men,Tom Ford,Costa Azzurra,Juniper, Myrtle,Cypress, Pine Needles,Labdanum, Vanilla,A fresh and aromatic fragrance with a mix of herbal and woody notes, perfect for the adventurous and free-spirited man.,Long-lasting,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.4"
216,Women,M. Micallef,Couleur Vanille,"Vanilla, Coconut, Anise","Jasmine, Orchid, Tiare Flower","Vanilla, Musk, Sandalwood",A sweet and spicy vanilla fragrance that is perfect for any occasion.,Moderate,Fall & Winter,All,Moderate,Expensive,4.3,"Women,M. Micallef,Couleur Vanille,Vanilla, Coconut, Anise,Jasmine, Orchid, Tiare Flower,Vanilla, Musk, Sandalwood,A sweet and spicy vanilla fragrance that is perfect for any occasion.,Moderate,Fall & Winter,All,Moderate,Expensive,4.3"
217,Women,Juicy Couture,Couture Couture,"Mandarin, Grapefruit, Orange blossom","Jasmine, Plum, Honeysuckle","Amber, Vanilla, Sandalwood","A bold and sensual fragrance with citrus and floral notes, perfect for a night out.",Long-lasting,All Seasons,Casual (Daytime),Moderate,Expensive,4.0,"Women,Juicy Couture,Couture Couture,Mandarin, Grapefruit, Orange blossom,Jasmine, Plum, Honeysuckle,Amber, Vanilla, Sandalwood,A bold and sensual fragrance with citrus and floral notes, perfect for a night out.,Long-lasting,All Seasons,Casual (Daytime),Moderate,Expensive,4.0"
218,Women,Juicy Couture,Couture Couture,"Mandarin, Orange blossom, Grapefruit","Jasmine, Plum, Licorice","Amber, Vanilla, Sandalwood","A sweet, fruity scent with a touch of licorice",Moderate,All Seasons,Formal (Evening),Moderate,Exorbitant,4.2,"Women,Juicy Couture,Couture Couture,Mandarin, Orange blossom, Grapefruit,Jasmine, Plum, Licorice,Amber, Vanilla, Sandalwood,A sweet, fruity scent with a touch of licorice,Moderate,All Seasons,Formal (Evening),Moderate,Exorbitant,4.2"
219,Women,Juicy Couture,Couture La La,"Mandarin, Red currant, Green apple","Lily of the valley, Orange blossom, Violet leaves","Musk, Woods, Vanilla","A playful and energetic fragrance with fruity and floral notes, perfect for a summer day.",Long-lasting,All Seasons,Casual (Daytime),Moderate,Expensive,4.1,"Women,Juicy Couture,Couture La La,Mandarin, Red currant, Green apple,Lily of the valley, Orange blossom, Violet leaves,Musk, Woods, Vanilla,A playful and energetic fragrance with fruity and floral notes, perfect for a summer day.,Long-lasting,All Seasons,Casual (Daytime),Moderate,Expensive,4.1"
220,Women,Juicy Couture,Couture La La,"Mandarin, Red currant, Green apple","Lily of the valley, Orange blossom, Violet leaves","Woodsy notes, Musk","A fresh, fruity-floral scent with a hint of musk",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.3,"Women,Juicy Couture,Couture La La,Mandarin, Red currant, Green apple,Lily of the valley, Orange blossom, Violet leaves,Woodsy notes, Musk,A fresh, fruity-floral scent with a hint of musk,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.3"
221,Unisex,D.S. & Durga,Cowboy Grass,"Rosewood, Wild thyme, Sagebrush","Basil, Mint, Tarragon","Hay, Tobacco, Leather","A herbal and earthy fragrance with a tobacco and leather base. The rosewood and sagebrush give it a woody and natural feel, while the mint and tarragon add freshness.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5,"Unisex,D.S. & Durga,Cowboy Grass,Rosewood, Wild thyme, Sagebrush,Basil, Mint, Tarragon,Hay, Tobacco, Leather,A herbal and earthy fragrance with a tobacco and leather base. The rosewood and sagebrush give it a woody and natural feel, while the mint and tarragon add freshness.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5"
222,Men,Riviera,Cozumel,"Pineapple, Lime, Sea salt","Geranium, Nutmeg, Jasmine","Cedarwood, Vetiver, Amber",A fresh aquatic scent inspired by the Mexican island of Cozumel.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5,"Men,Riviera,Cozumel,Pineapple, Lime, Sea salt,Geranium, Nutmeg, Jasmine,Cedarwood, Vetiver, Amber,A fresh aquatic scent inspired by the Mexican island of Cozumel.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5"
223,Women,Les Nereides,Crepuscule des Ames,"Lemon, Mandarin Orange, Blackcurrant","Rose, Peach, Ylang-Ylang, Lily-of-the-Valley","Sandalwood, Musk, Tonka Bean, Vanilla, Amber, Benzoin",A floral fruity fragrance for women. A warm and sensual scent with a blend of floral and fruity notes that create a delicate and feminine aroma.,Moderate,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.1,"Women,Les Nereides,Crepuscule des Ames,Lemon, Mandarin Orange, Blackcurrant,Rose, Peach, Ylang-Ylang, Lily-of-the-Valley,Sandalwood, Musk, Tonka Bean, Vanilla, Amber, Benzoin,A floral fruity fragrance for women. A warm and sensual scent with a blend of floral and fruity notes that create a delicate and feminine aroma.,Moderate,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.1"
224,Women,Chanel,Cristalle,"Lemon, Bergamot, Hyacinth","Jasmine, Rose, Iris","Oakmoss, Vetiver, Musk","A fresh and vibrant scent with a citrusy top note, a floral heart, and a mossy, earthy base. It is a youthful and modern fragrance that is perfect for spring and summer.",Moderate,Spring & Fall,Casual (Daytime),Moderate,Exorbitant,4.5,"Women,Chanel,Cristalle,Lemon, Bergamot, Hyacinth,Jasmine, Rose, Iris,Oakmoss, Vetiver, Musk,A fresh and vibrant scent with a citrusy top note, a floral heart, and a mossy, earthy base. It is a youthful and modern fragrance that is perfect for spring and summer.,Moderate,Spring & Fall,Casual (Daytime),Moderate,Exorbitant,4.5"
225,Women,Victoria's Secret,Crush,"Pink pepper, Treasure peony, Ashok flower","Jasmine petals, Whipped, creamy coconut","White cedarwood, Soft musk, Tonka bean",A playful and flirty fragrance that blends spicy and floral notes for a captivating scent.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.6,"Women,Victoria's Secret,Crush,Pink pepper, Treasure peony, Ashok flower,Jasmine petals, Whipped, creamy coconut,White cedarwood, Soft musk, Tonka bean,A playful and flirty fragrance that blends spicy and floral notes for a captivating scent.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.6"
226,Men,Tom Daxon,Crushing Bloom,"Mandarin, Pink Pepper, Blackcurrant","Jasmine, Peony, Rose","Patchouli, Amber, Musk",A bright and floral fragrance that is perfect for spring and summer.,Moderate,Spring & Summer,Formal (All),Moderate,Expensive,4.0,"Men,Tom Daxon,Crushing Bloom,Mandarin, Pink Pepper, Blackcurrant,Jasmine, Peony, Rose,Patchouli, Amber, Musk,A bright and floral fragrance that is perfect for spring and summer.,Moderate,Spring & Summer,Formal (All),Moderate,Expensive,4.0"
227,Women,Versace,Crystal Noir,"Gardenia, Amber","Tuberose, Cardamom","Sandalwood, Musk",A mysterious and sensual fragrance with oriental and floral notes,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.5,"Women,Versace,Crystal Noir,Gardenia, Amber,Tuberose, Cardamom,Sandalwood, Musk,A mysterious and sensual fragrance with oriental and floral notes,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.5"
228,Unisex,Serge Lutens,Cuir Mauresque,"Incense, Leather, Myrtle, Orange Blossom, Amber, Castoreum","Musk, Jasmine, Osmanthus, Patchouli","Benzoin, Civet, Vanilla","A bold and smoky fragrance with a hint of leather and musk, inspired by the exotic aromas of North Africa.",Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.2,"Unisex,Serge Lutens,Cuir Mauresque,Incense, Leather, Myrtle, Orange Blossom, Amber, Castoreum,Musk, Jasmine, Osmanthus, Patchouli,Benzoin, Civet, Vanilla,A bold and smoky fragrance with a hint of leather and musk, inspired by the exotic aromas of North Africa.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.2"
229,Unisex,Parfums d'Empire,Cuir Ottoman,"Bergamot, pink pepper, saffron","Leather, oud, iris","Musk, sandalwood, vanilla","A leather fragrance with notes of saffron, oud, and sandalwood.",Moderate to long-lasting,Fall & Winter,Formal (All),Moderate to Strong,Exorbitant,4.2,"Unisex,Parfums d'Empire,Cuir Ottoman,Bergamot, pink pepper, saffron,Leather, oud, iris,Musk, sandalwood, vanilla,A leather fragrance with notes of saffron, oud, and sandalwood.,Moderate to long-lasting,Fall & Winter,Formal (All),Moderate to Strong,Exorbitant,4.2"
230,Women,Givenchy,Dahlia Divin,"Mirabelle Plum, White Flowers, Saffron","Jasmine, Vetiver, Patchouli","Sandalwood, Vetiver, Musk","Dahlia Divin is a luxurious and sophisticated fragrance that is perfect for evening wear. It is rich and sensual, with a touch of femininity that makes it perfect for a special occasion.",Long-lasting,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.6,"Women,Givenchy,Dahlia Divin,Mirabelle Plum, White Flowers, Saffron,Jasmine, Vetiver, Patchouli,Sandalwood, Vetiver, Musk,Dahlia Divin is a luxurious and sophisticated fragrance that is perfect for evening wear. It is rich and sensual, with a touch of femininity that makes it perfect for a special occasion.,Long-lasting,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.6"
231,Women,Marc Jacobs,Daisy,"Strawberry, Violet leaves, Ruby Red grapefruit","Gardenia, Violet petals, Jasmine petals","Musk, Vanilla infusion, White woods","This iconic fragrance captures the youthful spirit of Marc Jacobs' designs, with a light and fresh scent perfect for any occasion.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.6,"Women,Marc Jacobs,Daisy,Strawberry, Violet leaves, Ruby Red grapefruit,Gardenia, Violet petals, Jasmine petals,Musk, Vanilla infusion, White woods,This iconic fragrance captures the youthful spirit of Marc Jacobs' designs, with a light and fresh scent perfect for any occasion.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.6"
232,Women,Marc Jacobs,Daisy,"Strawberry, Violet Leaves, Ruby Red Grapefruit","Gardenia, Violet Petals, Jasmine Petals","Musk, Vanilla Infusion, White Woods",A fresh and feminine fragrance that evokes the feeling of being in a lush garden.,Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5,"Women,Marc Jacobs,Daisy,Strawberry, Violet Leaves, Ruby Red Grapefruit,Gardenia, Violet Petals, Jasmine Petals,Musk, Vanilla Infusion, White Woods,A fresh and feminine fragrance that evokes the feeling of being in a lush garden.,Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5"
233,Women,Marc Jacobs,Daisy Dream,"Blackberry, Grapefruit, Pear","Jasmine, Lychee, Blue wisteria","White woods, Musks, Coconut water","A light and airy scent, Daisy Dream captures the essence of the Marc Jacobs brand with its playful and youthful combination of fruity and floral notes.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5,"Women,Marc Jacobs,Daisy Dream,Blackberry, Grapefruit, Pear,Jasmine, Lychee, Blue wisteria,White woods, Musks, Coconut water,A light and airy scent, Daisy Dream captures the essence of the Marc Jacobs brand with its playful and youthful combination of fruity and floral notes.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5"
234,Women,Marc Jacobs,Daisy Dream,"Blackberry, Grapefruit, Pear","Jasmine, Lychee, Blue Wisteria","White Woods, Musk, Coconut Water",A light and airy fragrance that's both fruity and floral.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.3,"Women,Marc Jacobs,Daisy Dream,Blackberry, Grapefruit, Pear,Jasmine, Lychee, Blue Wisteria,White Woods, Musk, Coconut Water,A light and airy fragrance that's both fruity and floral.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.3"
235,Women,Marc Jacobs,Daisy Eau So Fresh,"Raspberry, Grapefruit, Pear","Violet, Wild rose, Apple blossom","Musks, Cedarwood, Plum","An airy and playful scent, this fragrance is a fun and fruity twist on the original Daisy fragrance.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.6,"Women,Marc Jacobs,Daisy Eau So Fresh,Raspberry, Grapefruit, Pear,Violet, Wild rose, Apple blossom,Musks, Cedarwood, Plum,An airy and playful scent, this fragrance is a fun and fruity twist on the original Daisy fragrance.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.6"
236,Women,Marc Jacobs,Daisy Eau So Fresh,"Raspberry, Grapefruit, Pear","Violet, Rose, Apple Blossom","Musks, Cedarwood, Plum","A fruity and floral scent that's playful and light-hearted, perfect for spring and summer.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.4,"Women,Marc Jacobs,Daisy Eau So Fresh,Raspberry, Grapefruit, Pear,Violet, Rose, Apple Blossom,Musks, Cedarwood, Plum,A fruity and floral scent that's playful and light-hearted, perfect for spring and summer.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.4"
