Gender,Brand,Fragrance,Top,Heart,Base,Description,Rating,Longevity,Seasonal Use,Occasion,Price,Projection/Sillage
Men,Creed,Bois du Portugal,"Bergamot, Lavender, Cedarwood","Sandalwood, Vetiver, Ambergris","Amber, Tonka bean, Musk",A classic masculine scent that features the rich and woody aroma of Portuguese trees.,4.6,Long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate to Heavy
Men,Creed,Sir Winston,"Bergamot, Grapefruit, Pineapple, and Juniper Berries",N/A,N/A,"Sir Winston is a fresh and fruity fragrance for men that was launched in 2019. It features a blend of bergamot, grapefruit, pineapple, and juniper berries that create a bright and uplifting scent.",4.5,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Men,Creed,Green Irish Tweed,"Lemon, verbena, peppermint","Violet leaves, iris, sandalwood","Ambergris, cedarwood, vetiver","Green Irish Tweed is a timeless classic and one of Creed's most popular fragrances. It's a fresh, clean, and elegant scent that is perfect for any occasion. The opening notes of lemon, verbena, and peppermint give it a zesty and refreshing kick, while the heart notes of violet leaves and iris add a subtle floral touch. The base notes of ambergris, cedarwood, and vetiver give it a warm and earthy feel. It has a moderate to long-lasting longevity and sillage.",4.7,Long-lasting,Spring & Fall,Casual (Daytime),$$$,Heavy
Men,D.S. & Durga,Rendezvous,"Bergamot, Lime, Grapefruit, Elemi, Pink Pepper, Juniper, Geranium, Ambergris, Vetiver",N/A,N/A,"Rendezvous is a citrus aromatic fragrance for men that was launched in 2019. It's a fresh, bright, and invigorating scent that's perfect for warm weather.",4.1,Long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate to Heavy
Unisex,D.S. & Durga,Notorious Oud,"Saffron, Incense, Cedar","Sandalwood, Patchouli, Oud","Amber, Leather, Musk",A warm and spicy fragrance with a woody and earthy base. The saffron adds an exotic touch while the oud and incense create a smoky and mystical ambiance.,4.5,Moderate to long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate to Heavy
Unisex,D.S. & Durga,Sweet Do Nothing,"Clementine, Orange Blossom, Lotus","Lilac, Vanilla, Magnolia","Ambergris, Musk, Salt",A sweet and salty fragrance with a citrusy opening and a floral heart. The musk and salt add a sensual touch while the ambergris gives it an oceanic feel.,4.2,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,D.S. & Durga,Rose Atlantic,"Bergamot, Petitgrain, Rose","Magnolia, Hedione, Brine","Seaweed, Salt, Ambergris","A fresh and floral fragrance with a marine twist. The brine and seaweed notes give it a salty and oceanic feel, while the rose and magnolia add a touch of sweetness.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,D.S. & Durga,Cowboy Grass,"Rosewood, Wild thyme, Sagebrush","Basil, Mint, Tarragon","Hay, Tobacco, Leather","A herbal and earthy fragrance with a tobacco and leather base. The rosewood and sagebrush give it a woody and natural feel, while the mint and tarragon add freshness.",4.5,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,D.S. & Durga,Bowmakers,"Pine, Cedar, Loam, Vanilla","Amber, Pine, Spices, Moss","Cedar, Oakwood, Mahogany, Birch","Bowmakers is a woody fragrance that evokes the scent of a violin workshop, blending the aroma of freshly carved wood with warm vanilla and earthy spices.",4.0,Moderate to long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate to Heavy
Unisex,D.S. & Durga,Burning Barbershop,"Spearmint, Lime, Hemlock Spruce, Lavender, Shaving Cream, Soap, Vanilla, Hay","Rose, Burnt Oil, Frankincense","Amber, Wood, Patchouli, Musk","Burning Barbershop is a unique fragrance that combines the classic scents of a barbershop with the smoky aroma of a fire, creating a nostalgic and intriguing scent.",4.1,Moderate to long-lasting,Fall & Winter,Casual (Daytime),$$$,Moderate to Heavy
Unisex,D.S. & Durga,Debaser,"Bergamot, Green Leaf, Pear Stem","Fig, Coconut Milk, Iris","Blonde Woods, Tonka Bean, Moss","Debaser is a fruity and fresh fragrance inspired by the Pixies' song of the same name. It features notes of green leaf, fig, and coconut milk, creating a unique and captivating scent.",4.0,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,D.S. & Durga,El Cosmico,"Creosote Bush, Dry Desert Air, Wildflowers, Pinon Pine","Hickory Smoke, Smoked Cedar, Oak, Texas Cedarwood","White Musk, Earth, Sandalwood","El Cosmico is a warm and smoky fragrance that captures the essence of the desert. It features notes of creosote bush, wildflowers, and smoked cedar, evoking the rugged and natural beauty of the American Southwest.",4.1,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate to Heavy
Unisex,D.S. & Durga,Mississippi Medicine,"Balsam Fir, Sweet Pine, Dark Berries","Incense, Red Pepper, Cedarwood, Birch Tar","Vanilla, Amber, Smoke","Mississippi Medicine is a rich and complex fragrance that combines the scents of the American South with a touch of magic. It features notes of balsam fir, incense, and amber, creating a warm and mysterious aroma.",4.2,Moderate to long-lasting,Fall & Winter,Casual (Daytime),$$$,Moderate to Heavy
Unisex,D.S. & Durga,Radio Bombay,"Radiant Wood, Copper, Cedar, Sandalwood, Radio Transistor","Vetiver, Cardamom, Patchouli","Amber, Cistus, Musk","Radio Bombay is a spicy and woody fragrance that evokes the bustling city of Bombay. It features notes of cardamom, patchouli, and sandalwood, creating a warm and exotic scent.",4.1,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate to Heavy
Women,Davidoff,Cool Water,"Pineapple, Lemon, Blackcurrant, Lily, Lotus, Jasmine, Watermelon","Honey, Hawthorn, Lily of the valley, Jasmine","Musk, Vanilla, Blackberry, Raspberry, Vetiver, Sandalwood, Peach","Cool Water is a classic fragrance for women. This refreshing scent has a blend of pineapple, blackcurrant, and watermelon with middle notes of jasmine and lily, creating a fragrance that is perfect for daytime wear.",4.5,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Davidoff,Cool Water Sea Rose,"Pear, Peony, Orange Blossom","Musk, Tea, Rose","Tonka Bean, Orris Root","Cool Water Sea Rose is a light, floral fragrance for women that is perfect for warm weather. The fragrance features top notes of pear and peony, with a heart of orange blossom and musk, and a base of tonka bean and orris root.",4.4,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Davidoff,Cool Water Wave,"Watermelon, Mango, Guava","Pink Pepper, Peony, Freesia","Sandalwood, Iris, Musk","Cool Water Wave is a fruity and floral fragrance that is perfect for summer. The scent features top notes of watermelon, mango, and guava, with a heart of pink pepper, peony, and freesia, and a base of sandalwood, iris, and musk.",4.6,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Davidoff,Echo,"Grape-Raspberry Granite, Iris Pulp, Osmanthus Flower","Peony, Bulgarian Rose, Jasmine","Cedarwood, Amber, Musk","Echo is a modern, floral fragrance for women that is perfect for everyday wear. The scent features top notes of grape-raspberry granite, iris pulp, and osmanthus flower, with a heart of peony, Bulgarian rose, and jasmine, and a base of cedarwood, amber, and musk.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Davidoff,Good Life,"Bergamot, Orange Blossom, Lemon, Pineapple","Lily of the Valley, Orris Root, Jasmine, Rose","Cedar, Sandalwood, Amber, Musk, Vanilla","Good Life is a classic, feminine fragrance that is perfect for any occasion. The scent features top notes of bergamot, orange blossom, lemon, and pineapple, with a heart of lily of the valley, orris root, jasmine, and rose, and a base of cedar, sandalwood, amber, musk, and vanilla.",4.6,Moderate,Fall & Winter,Casual (Evening),$$,Moderate
Women,Davidoff,Horizon,"Rosemary, Ginger, Pepper, Sesame, Cedarwood","Vetiver, Geranium, Frankincense, Patchouli","Cacao, Cedarwood, Vetiver","Horizon is a fresh, woody fragrance that is perfect for men and women. The scent features top notes of rosemary, ginger, pepper, sesame, and cedarwood, with a heart of vetiver, geranium, frankincense, and patchouli, and a base of cacao, cedarwood, and vetiver.",4.4,Moderate,Spring & Fall,Casual (Daytime),$$,Moderate
Women,Davidoff,Hot Water,"Absinthe, Red Basil, Pimento","Patchouli, Styrax","Benzoin, Amber","Hot Water is a spicy fragrance that is perfect for evening wear. The scent features top notes of absinthe, red basil, and pimento, with a heart of patchouli and styrax, and a base of benzoin",4.0,Long-lasting,Fall & Winter,Casual (Evening),$$,Heavy
Women,Dior,J'adore Eau de Parfum,"Ylang-ylang, Bergamot, Mandarin","Damascus Rose, Jasmine Sambac","Vanilla, Woody Notes","A floral fragrance that embodies absolute femininity with its floral bouquet, fruity and fresh notes",4.7,Long-lasting,All Seasons,Casual (Evening),$$$,Strong
Women,Dior,Miss Dior Eau de Parfum,"Italian Mandarin, Egyptian Jasmine","Rose, Indonesian Patchouli, Musk","Vanilla, Vetiver","A fresh, light, and elegant scent with a modern twist on the classic Miss Dior fragrance",4.6,Moderate to long-lasting,All Seasons,Casual (Daytime),$$$,Moderate
Women,Dior,Addict Eau de Parfum,"Mandarin Leaf, Orange Blossom","Jasmine Sambac, Bourbon Vanilla","Sandalwood, Tonka Bean","A floral oriental fragrance with a hint of freshness, sensuality and femininity",4.5,Moderate to long-lasting,All Seasons,Casual (Evening),$$$,Strong
Women,Dior,Joy Eau de Parfum,"Bergamot, Mandarin, Grasse Rose","Jasmine, White Musk","Cedarwood, Sandalwood",A floral fragrance that captures the feeling of joy and happiness with its fresh and floral scent,4.5,Long-lasting,All Seasons,All,$$$,Strong
Women,Dior,Hypnotic Poison Eau de Toilette,"Almond, Caraway","Jasmine, Moss","Vanilla, Musk","A woody oriental fragrance with a hint of sweetness, sensuality and femininity",4.4,Moderate to long-lasting,Fall & Winter,Casual (Evening),$$$,Moderate
Women,Dior,Poison Girl Eau de Parfum,"Bitter Orange, Rose, Tonka Bean","Grasse Vanilla, Sandalwood","Almond, Tolu Balsam",A sweet and spicy fragrance with a hint of rebellion and playfulness,4.3,Moderate to long-lasting,All Seasons,Casual (Evening),$$$,Strong
Women,Dior,Dune Eau de Toilette,"Mandarin, Peony","Lily, Wallflower","Amber, Sandalwood",A floral oriental fragrance that captures the feeling of serenity and escape with its fresh and sunny scent,4.3,Moderate to long-lasting,All Seasons,Casual (Daytime),$$$,Moderate
Women,Dior,Forever and Ever Eau de Toilette,"Freesia, Ivy Leaves","Rose, Water Jasmine","Musk, Almond Woods",A floral fragrance that captures the feeling of eternal love with its fresh and romantic scent,4.2,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Dior,Dolce Vita Eau de Toilette,"Lily, Rose","Apricot, Peach","Cinnamon, Vanilla",A fruity floral fragrance that captures the feeling of joie de vivre with its fresh and spicy scent,4.2,Moderate to long-lasting,Fall & Winter,Casual (Evening),$$$,Moderate
Women,Dior,Diorissimo Eau de Toilette,"Lily of the Valley, Ylang-ylang","Jasmine, Amalfi Lemon","Boronia, Sandalwood",A floral fragrance that embodies the feeling of purity and simplicity with its fresh and delicate scent,4.1,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Dior,Miss Dior Blooming Bouquet,"Sicilian Mandarin, Pink Peony","Rose, Damask Rose","White Musk, Musk","Miss Dior Blooming Bouquet is a floral fragrance with fresh and delicate top notes that give way to a blooming heart and a subtle, powdery base.",4.6,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Dior,Sauvage,"Bergamot, Sichuan Pepper","Lavender, Star Anise","Ambroxan, Vanilla",A fresh and spicy fragrance that captures the wildness of the desert.,4.7,Long-lasting,Fall & Winter,Formal (Evening),$$$,Strong
Men,Dior,Fahrenheit,"Mandarin, Cedar","Violet, Leather","Vetiver, Patchouli","A bold and masculine fragrance that blends citrus, wood, and leather notes.",4.5,Long-lasting,Fall & Winter,Formal (Evening),$$$,Strong
Men,Dior,Eau Sauvage,"Lemon, Rosemary","Petitgrain, Basil","Vetiver, Musk",A classic citrus fragrance that is refreshing and timeless.,4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Dior,Homme,"Bergamot, Sage","Iris, Amber","Cedar, Vetiver",A sophisticated fragrance that combines fresh and spicy notes with warm and woody ones.,4.4,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Dior,Homme Intense,"Lavender, Iris","Ambrette Seed, Pear","Vetiver, Virginia Cedar","A sensual and elegant fragrance that blends floral, fruity, and woody notes.",4.6,Long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate
Men,Dior,Higher Energy,"Grapefruit, Mint","Juniper Berry, Nutmeg","Sandalwood, Musk","A vibrant and energizing fragrance that features fresh, spicy, and woody notes.",4.2,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Dior,Homme Sport,"Grapefruit, Bergamot","Ginger, Elemi","Cedar, Vetiver","A fresh and invigorating fragrance that combines citrus, spicy, and woody notes.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Dior,Homme Cologne,"Calabrian Bergamot, Grapefruit",Moroccan Grapefruit Blossom,"White Musk, Woods",A fresh and luminous fragrance that captures the essence of a Mediterranean summer.,4.1,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Dior,Homme Eau for Men,"Bergamot, Grapefruit","Coriander, Ginger","Cedar, Vetiver",A fresh and spicy fragrance that is perfect for daily wear.,4.0,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Dior,Homme Parfum,"Tuscan Iris, Leather","Virginia Cedar, Patchouli","Ambrette Seed, Vetiver","A powerful and intense fragrance that features leather, floral, and woody notes.",4.8,Long-lasting,Fall & Winter,Formal (Evening),$$$,Strong
Unisex,Diptyque,Philosykos,"Fig Leaves, Fig Wood, Fig","Cedar, Coconut, White Cedar","Musk, Benzoin",A woody and green fragrance with a fruity and earthy character. It is a unisex fragrance that evokes the Mediterranean landscape.,4.2,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,Diptyque,Philosykos,"Fig Leaf, Fig, Coconut","Cedarwood, Tonka Bean",White Musk,"A fresh, green, and milky fragrance that captures the essence of a fig tree. It is a perfect summer scent for both men and women.",4.2,Long-lasting,All Seasons,All,$$,Moderate
Unisex,Diptyque,Eau Capitale,"Bergamot, Pink pepper, Rose","Violet, Jasmine, Iris","Patchouli, Moss, Leather",A floral and spicy fragrance with a classic and sophisticated touch inspired by Parisian chic,4.1,Moderate to long-lasting,Spring & Fall,Formal (Evening),$$$,Moderate projection
Unisex,Diptyque,Do Son,"Iris, Tuberose","African Orange Flower, Rose","Benzoin, Musk, White Musk","A feminine fragrance with top notes of iris and tuberose, followed by a heart of African orange flower and rose, and finished with benzoin, musk, and white musk. A floral and spicy scent.",4.3,Moderate to long-lasting,Spring & Summer,All,$$,Moderate to Heavy
Unisex,Diptyque,Vetyverio,"Grapefruit, Mandarin","Vetiver, Geranium, Patchouli",Woody Notes,A fresh and woody fragrance with a citrus top note. Suitable for daytime wear in spring and summer.,4.2,Moderate to long-lasting,Spring & Fall,All,$$$,Moderate to Heavy
Women,Diptyque,L'Ombre dans L'Eau,"Blackcurrant, Rose",Green Notes,"Musk, Amber",A green and floral fragrance with a musky base. Suitable for daytime wear in spring and summer.,4.4,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,Diptyque,Eau de Lavande,"Lavender, Coriander","Cinnamon, Nutmeg, Musk","Tonka Bean, Vanilla, Amber","A classic lavender scent with a spicy twist. The top notes of lavender and coriander give way to a heart of cinnamon, nutmeg, and musk, while the base notes of tonka bean, vanilla, and amber add warmth and depth. The result is a clean, elegant fragrance that is perfect for everyday wear.",4.1,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,Diptyque,Eau de Lierre,"Ivy, Cyclamen, Rosewood","Musk, Amber, Cedar","Vetiver, Green Pepper","A fresh, green fragrance that captures the scent of ivy climbing up a stone wall. The top notes of ivy, cyclamen, and rosewood give way to a heart of musk, amber, and cedar, while the base notes of vetiver and green pepper add a touch of spice. The result is a delicate, yet complex scent that is perfect for both men and women.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,Diptyque,L'Ombre dans l'Eau,"Blackcurrant Leaf, Bulgarian Rose","Petitgrain, Blackcurrant, Plum","Musk, Blackcurrant Buds","A fresh and green unisex fragrance featuring the aroma of blackcurrant leaves and buds, complemented by a fruity and floral heart.",4.2,Long-lasting,Spring & Summer,Casual (Daytime),$$$,Strong
Unisex,Diptyque,Philosykos,Fig,Coconut,"Cedarwood, Woods","Philosykos is a woody aromatic fragrance that features fig, coconut and cedarwood as its main accords. It's a warm and cozy scent that is perfect for both men and women.",4.3,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Diptyque,Eau Capitale,"Bergamot, Pink Pepper","Rose, Violet","Patchouli, Cedar, Frankincense","Eau Capitale is a floral fragrance that features bergamot, pink pepper, rose, and violet as its main accords. It's a sophisticated scent that is perfect for both men and women.",4.1,Moderate to long-lasting,Fall & Winter,Casual (Daytime),$$$,Moderate
Unisex,Diptyque,Do Son,"Tuberose, Orange Blossom","Jasmine, Iris","White Musk, Amberwood",Do Son is a floral fragrance that features tuberose and orange blossom as its main accords. It's a fresh and clean scent that is perfect for both men and women.,4.2,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Diptyque,Tam Dao,"Rosewood, Cypress","Amber, Spices","Sandalwood, Cedar, Brazilian Rosewood",Tam Dao is a woody fragrance that features rosewood and cypress as its main accords. It's a warm and spicy scent that is perfect for both men and women.,4.3,Moderate to long-lasting,Fall & Winter,Casual (Daytime),$$$,Moderate
Unisex,Diptyque,L'Ombre dans L'Eau,"Blackcurrant, Bulgarian Rose",Green Notes,"Amber, Musk",L'Ombre dans L'Eau is a floral fragrance that features blackcurrant and Bulgarian rose as its main accords. It's a fresh and clean scent that is perfect for both men and women.,4.1,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Diptyque,Eau de Lierre,"Ivy, Cyclamen","Musk, Amber",Rosewood,Eau de Lierre is a green fragrance that features ivy and cyclamen as its main accords. It's a fresh and clean scent that is perfect for both men and women.,4.2,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Diptyque,Olène,"Wisteria, Narcissus","Jasmine, Honeysuckle",White Musk,Olène is a floral fragrance that features wisteria and narcissus as its main accords. It's a fresh and clean scent that is perfect for both men and women.,4.1,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Diptyque,Eau Duelle,"Cardamom, Pink Pepper","Juniper, Elemi","Olibanum, Vanilla, Musk",Eau Duelle is an oriental fragrance that features cardamom and pink pepper as its main accords. It's a warm and spicy scent that is perfect for both men and women.,4.3,Moderate to long-lasting,Fall & Winter,Casual (Daytime),$$$,Moderate
Unisex,Diptyque,Tempo,"Bergamot, Pink Pepper","Violet Leaf, Mate","Patchouli, Leather, Oakmoss",Tempo is a woody fragrance that features bergamot and pink pepper as its main accords. It's a warm and spicy scent that is perfect for both men and women.,4.2,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Divine,L'Ame Soeur,"Mandarin Orange, Grapefruit, Petitgrain","Rose, Lily of the Valley, Orange Blossom","Vetiver, Cedar, Musk","A fresh and floral fragrance with a blend of mandarin orange, grapefruit and petitgrain, and a woody and musky base.",4.0,Long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate
Women,Dolcé & Gabbána,Light Blue,"Sicilian Lemon, Apple, Bellflower","Jasmine, Bamboo, White Rose","Cedarwood, Amber, Musk","A fresh floral and fruity fragrance inspired by the Mediterranean, perfect for daytime wear",4.7,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Dolcé & Gabbána,The One,"Mandarin, Peach, Litchi","Jasmine, Lily, Orange Blossom","Vanilla, Amber, Musk","A warm and sensual fragrance with a touch of sweetness, perfect for romantic occasions",4.6,Long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate
Women,Dolcé & Gabbána,Dolce,"Neroli Leaves, Papaya Flower","White Amaryllis, Narcissus, Water Lily","Cashmeran, Musk, Sandalwood","A delicate floral fragrance inspired by the beauty of Sicily, perfect for the modern woman",4.5,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Dolcé & Gabbána,Pour Femme,"Raspberry, Neroli","Orange Blossom, Jasmine","Vanilla, Marshmallow, Heliotrope","A sweet and fruity fragrance with a hint of floral notes, perfect for casual wear",4.4,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Dolcé & Gabbána,Light Blue Eau Intense,"Lemon, Granny Smith Apple","Marigold, Jasmine, Sambac","Amber Woods, Cedarwood, Musk","A fresh and intense version of the classic Light Blue fragrance, perfect for summer days",4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Dolcé & Gabbána,Velvet Desert Oud,"Incense, Black Pepper, Coriander","Tuberose, Orange Blossom, Rose","Oud, Sandalwood, Amber","A luxurious and mysterious fragrance with a blend of oriental and floral notes, perfect for special occasions",4.2,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Dolcé & Gabbána,Dolce Garden,"Mandarin, Magnolia, Neroli","Coconut, Almond Milk, Amaryllis","Vanilla, Sandalwood, Cashmeran","A sweet and floral fragrance with a touch of tropical notes, perfect for warm weather",4.1,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Dolcé & Gabbána,Pour Femme Intense,"Green Mandarin, Neroli","Orange Blossom, Tuberose","Sandalwood, Marshmallow, Vanilla","A more intense version of the classic Pour Femme fragrance with a blend of floral and sweet notes, perfect for evening wear",4.0,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Dolcé & Gabbána,The Only One,"Violet, Bergamot, Mandarin","Coffee, Iris, Orange Blossom","Vanilla, Patchouli, Caramel","A warm and addictive fragrance with a blend of floral, fruity, and gourmand notes, perfect for cold weather",3.9,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Dolcé & Gabbána,Dolce Rosa Excelsa,"Neroli, Papaya Flower","Turkish Rose, African Dog Rose, White Lily","Musk, Cashmeran, Sandalwood","A fresh and floral fragrance inspired by the gardens of Sicily, perfect for springtime",3.8,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Dolcé & Gabbána,Light Blue Pour Homme,"Sicilian mandarin, frozen grapefruit peel, juniper","Rosemary, Sichuan pepper, rosewood","Musk wood, incense, oak moss","A refreshing and masculine scent inspired by the Mediterranean, perfect for everyday wear in the summer months.",4.6,Long-lasting,Spring & Summer,All,$$,Moderate
Men,Dolcé & Gabbána,The One for Men,"Grapefruit, coriander, basil","Cardamom, ginger, orange blossom","Cedarwood, tobacco, ambergris","A warm and spicy fragrance with a classic feel, perfect for evening wear in the cooler months.",4.5,Long-lasting,All Seasons,Casual (Evening),$$,Heavy
Men,Dolcé & Gabbána,K by Dolce & Gabbana,"Citrus, juniper berry, blood orange","Clary sage, geranium, lavender","Vetiver, cedarwood, patchouli",A contemporary and masculine scent that represents the essence of a man. Ideal for casual wear.,4.6,Long-lasting,Fall & Winter,Casual (Evening),$$,Heavy
Men,Dolcé & Gabbána,Intenso,"Aquatic, basil, marigold","Lavender, geranium, tobacco","Hay, labdanum, sandalwood","A warm and sensual scent with a hint of freshness, perfect for evening wear.",4.5,Long-lasting,Fall & Winter,Casual (Evening),$$,Moderate
Men,Dolcé & Gabbána,Pour Homme,"Bergamot, mandarin, orange","Neroli, lavender, sage","Tobacco, cedarwood, tonka bean","A classic and refined fragrance with a warm and spicy feel, perfect for a sophisticated gentleman.",4.5,Moderate,All Seasons,All,$$,Moderate
Men,Dolcé & Gabbána,Velvet Desert Oud,"Bitter orange, neroli, saffron","Lavender, rose, jasmine","Oud, leather, amber","A warm and exotic scent with a woody and spicy feel, perfect for evening wear.",4.3,Long-lasting,Fall & Winter,Casual (Evening),$$$,Heavy
Men,Dolcé & Gabbána,Velvet Wood,"Pepper, cypress, ebony","Leather, davana, osmanthus","Sandalwood, cedarwood, amber","A woody and spicy scent with a smoky and mysterious feel, perfect for the cooler months.",4.4,Moderate,All Seasons,All,$$$,Moderate
Men,Dolcé & Gabbána,Sicily,"Sicilian bergamot, mandarin, grapefruit","Jasmine, rose, pepper","Amber, musk, incense","A citrusy and floral scent inspired by the beauty of Sicily, perfect for daytime wear in the summer months.",4.5,Moderate,All Seasons,All,$$$,Moderate
Men,Dolcé & Gabbána,The One Sport,"Aquatic, rosemary, cardamom","Sequoia wood, patchouli, musk","Tonka bean, amber, musk","A fresh and energizing scent with a woody and spicy feel, perfect for sporty and active men.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Dolcé & Gabbána,The One Royal Night,"Cardamom, nutmeg, basil","Pear wood, sandalwood, amber","Cedarwood, labdanum, musk","A sophisticated and spicy scent with a hint of sweetness, perfect for a special occasion.",4.3,Long-lasting,Fall & Winter,Casual (Evening),$$$,Heavy
Women,Dolcé & Gabbána,Velvet Collection Velvet Ginestra,"Bergamot, Lemon, Mandarin","Jasmine, Orange Blossom, Tuberose","Vanilla, Benzoin, Musk",Velvet Ginestra is a floral fragrance with a fresh and citrusy scent. It's perfect for those who enjoy bright and uplifting fragrances.,4.5,Long-lasting,Spring & Summer,Casual (Daytime),$$$,Strong
Women,Dolcé & Gabbána,Dolce Floral Drops,"Neroli, Papaya Flower","Narcissus, Water Lily","Cashmeran, Musk, Sandalwood","A fresh, floral fragrance with fruity and musky undertones",4.5,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Ed Hardy,Ed Hardy,"Mango, Strawberry, Grapefruit","Freesia, Linden Blossom, Lily of the Valley","Musk, Tonka Bean, Vanilla","This fruity and floral fragrance is a signature scent of Ed Hardy, with a vibrant and youthful feel.",4.5,Moderate,All Seasons,Casual (Evening),$,Moderate
Women,Ed Hardy,Love Kills Slowly,"Blood Orange, Violet Leaf, Apple","Mango, Apple Blossom, Pink Jasmine","Tonka Bean, Amber, Blonde Woods","A sweet and fruity fragrance with a darker edge, inspired by Ed Hardy's famous tattoo design.",4.2,Moderate,All Seasons,Casual (Evening),$,Moderate
Women,Ed Hardy,Hearts & Daggers,"Blood Orange, Violet Leaf, Red Apple","Mango, Apple Blossom, Pink Jasmine","Musk, Tonka Bean, Amber",A playful and flirtatious fragrance with a fruity and floral aroma.,4.1,Moderate,All Seasons,Casual (Daytime),$,Moderate
Women,Ed Hardy,Born Wild,"Blackberry, Cassis, Peach Blossom","Magnolia, Lily of the Valley, Freesia","Sandalwood, Musk, Orris Root","A rich and exotic scent with a fruity and floral blend, inspired by Ed Hardy's adventurous spirit.",4.0,Moderate,All Seasons,Casual (Evening),$,Moderate
Women,Ed Hardy,Skulls & Roses,"Strawberry, Violet Leaf, Watermelon","Muguet, Jasmine, Rose Petals","Musk, Orris, Sandalwood","A fresh and lively scent with a fruity and floral aroma, inspired by Ed Hardy's iconic tattoo designs.",3.9,Moderate,All Seasons,Casual (All),$,Moderate
Women,Ed Hardy,Villain,"Lychee, Watermelon, Blood Orange","Freesia, Magnolia, Lily","Sandalwood, Musk, Cedar","A seductive and sophisticated fragrance with a fruity and floral aroma, inspired by Ed Hardy's iconic tattoo designs.",3.8,Moderate,All Seasons,Casual (All),$,Moderate
Women,Ed Hardy,Ed Hardy for Women,"Tropical Mango, Wild Strawberry, Ruby Red Grapefruit","Apple, Muguet, Freesia","Tonka Bean, Vanilla, Amber",A playful and fruity fragrance that captures the essence of Ed Hardy's rock and roll spirit.,3.7,Moderate,All Seasons,Casual (All),$,Moderate
Women,Ed Hardy,Skulls & Roses for Her,"Juicy Strawberry, Violet Leaf, Watermelon","Jasmine, Gardenia, Apple Blossom","Musk, Vanilla, Orris Root","A sweet and floral fragrance with a playful and daring attitude, inspired by Ed Hardy's iconic tattoo designs.",3.6,Moderate,All Seasons,Casual (All),$,Moderate
